Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Date of Launch,Launch Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 7,China,Commercial,Communications,,GEO,3/31/2012,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 9,China,Commercial,Communications,,GEO,10/16/2015,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabsat 5C,Multinational,Government,Communications,,GEO,9/21/2011,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabsat 6A,Multinational,Commercial,Communications,,GEO,4/11/2019,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCE 1A,USA,Civil,Technology Development,,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCE 1B,USA,Civil,Technology Development,,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCE 1C,USA,Civil,Technology Development,,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCSAT,Norway,Military,Technology Demonstration,,LEO,4/1/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARICA,Japan,Civil,Technology Development,,LEO,11/8/2021,Uchinoura Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arktika-M1,Russia,Government,Earth Observation,Meteorology,Elliptical,2/28/2021,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkyd-6A,USA,Commercial,Technology Development,,LEO,1/11/2018,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArSat 1,Argentina,Commercial,Communications,,GEO,10/16/2014,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArSat 2,Argentina,Commercial,Communications,,GEO,9/30/2015,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur,Belgium,Commercial,Earth Observation,Optical Imaging,LEO,6/30/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASELSAT,Turkey,Civil,Earth Observation,Optical Imaging,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-5,China,Commercial,Communications,,GEO,8/11/2009,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-6,China,Commercial,Communications,,GEO,9/7/2014,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-7,China,Commercial,Communications,,GEO,11/25/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-8,China,Commercial,Communications,,GEO,8/5/2014,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-9,China,Commercial,Communications,,GEO,9/28/2017,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaStar,USA,Commercial,Communications,,GEO,3/21/2000,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASNARO-1,Japan,Government,Earth Observation,Optical Imaging,LEO,11/6/2014,Dombarovsky Air Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASNARO-2,Japan,Government,Earth Observation,Radar Imaging,LEO,1/17/2018,Uchinoura Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTERISC,Japan,Civil,Technology Development,,LEO,11/8/2021,Uchinoura Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1G,Luxembourg,Commercial,Communications,,GEO,12/2/1997,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1KR,Luxembourg,Commercial,Communications,,GEO,4/20/2006,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1L,Luxembourg,Commercial,Communications,,GEO,5/4/2007,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
